building_id,canonical_name,alias_added,reason,rule_triggered,confidence,resolved_by,timestamp
3587,Dheeraj Heritage,Dheeraj Heritage,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
590,Prem Sagar,Prem Sagar,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
684,Serenity Tower,Serenity Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
3796,Imperial Tower,Imperial Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
4060,Godrej Trees,Godrej Trees,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
2678,Lodha Adrina,Lodha Adrina,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
2681,Lodha Park,Lodha Park,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
2685,Lodha Trump,Lodha Trump,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
2685,Lodha Trump,Lodha Trump,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
546,Orchid Tower,Orchid Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
3252,Poonam Apartment,Poonam Apartment,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
4283,Runwal Reserve,Runwal Reserve,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
4302,Trump Tower,Trump Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
716,Silver Sand,Silver Sands,✓ High name similarity 96%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
1274,Singer Wood,Singers Wood,✓ High name similarity 96%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
716,Silver Sand,Silver Sands,✓ High name similarity 96%; ✓ Same area: Goregaon West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
1088,June Blossom,June Blossoms,✓ High name similarity 96%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
84,Kanakia Rain Forest,Kanakia Rainforest,✓ High name similarity 97%; ✓ Same area: Andheri East; ✓ Same developer: Kanakia Group; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,100,AI,2026-06-26
1435,Kastur Park,Kasturpark,✓ High name similarity 95%; ✓ Same area: Borivali West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
1470,Kala Niketan,Kalaniketan,✓ High name similarity 96%; ✓ Same area: Breach Candy; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
1916,Kalpataru Radiance,Kalpataru Radiance Ora,✓ High name similarity 90%; ✓ Same area: Goregaon West; ✓ Same developer: Kalpataru Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2171,Kalpataru Gardens,Kalpataru,✓ High name similarity 90%; ✓ Same area: Kandivali East; ✓ Same developer: Kalpataru Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
0,Kalpataru,Kalpataru Vienta,✓ High name similarity 90%; ✓ Same area: Kandivali East; ✓ Same developer: Kalpataru Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
0,Kalpataru Vienta,Kalpatru Vienta,✓ High name similarity 97%; ✓ Same area: Kandivali East; ~ Partial developer info; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,88,AI,2026-06-26
2241,Kalpavruksh Garden,Kalpavruksh Gardens,✓ High name similarity 97%; ✓ Same area: Kandivali West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
3325,Kanakia Silicon Valley,Kanakia Silicon Valley Tower-C,✓ High name similarity 98%; ✓ Same area: Powai; ✓ Same developer: Kanakia Group; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,100,AI,2026-06-26
3898,Kalpataru Hills,Kalpataru Hills Pristine,✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same developer: Kalpataru Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
3901,Kalpataru Sunrise,Kalpataru Sunrise Kolshet,✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same developer: Kalpataru Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
1840,Lodha Fiorenza,Lodha Fiorenza Milano,✓ High name similarity 90%; ✓ Same area: Goregaon East; ✓ Same developer: Lodha Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
