project_id,rera_no,project_name,developer_name,building_ids,location,area,district,pincode,resolution_confidence,resolution_method,last_modified
41,P52100002029,Dwarika Nagari,Yashodhan Associates,,Haveli,Haveli,Pune,411048,0.8,rera_no_buildings:41,2017-07-31
42,P50500012638,Construction of 14 Rowhouses at Waddhamna Nagpur,MHADA(Nagpur Board),,Hingna,Hingna,Nagpur,441110,0.8,rera_no_buildings:42,2017-09-06
43,P49900000128,RADHA RAMAN APARTMENT,SARVESHWAR ASSOCIATES,606,Jalgaon,Jalgaon,Jalgaon,425001,0.9,project:43,2017-07-05
44,P50100000435,SPRING DIVISHA,SIDDHARTH DEVELOPERS,,Akola,Akola,Akola,444001,0.8,rera_no_buildings:44,2017-07-17
45,P50500007042,Sumangal Vihar,Sunil Laddhad & Nimish Laddhad (AOP),,Hingna,Hingna,Nagpur,440016,0.8,rera_no_buildings:45,2026-04-13
46,P51700002939,K T PREMIA,K T & CO,,Bhiwandi,Bhiwandi,Thane,421302,0.8,rera_no_buildings:46,2017-08-04
47,P52100000783,BELLA VITA,MALKANI PROPERTIES,3839,Haveli,Haveli,Pune,412207,0.9,project:47,2017-07-23
48,P51700000644,THANEKAR PARKLAND,AJAY MADHUKAR THANEKAR,,Ambarnath,Ambarnath,Thane,421503,0.8,rera_no_buildings:48,2021-05-11
49,P50900000159,"Site No.124, Datala, New Chandrapur",MHADA(Nagpur Board),,Chandrapur,Chandrapur,Chandrapur,442401,0.8,rera_no_buildings:49,2017-07-05
50,P51500000594,RAAJ SWAPNAPURTI,S RAAJ ASSOCIATES,2981,Aurangabad,Aurangabad,Aurangabad,431001,0.9,project:50,2017-07-18
