building,location,bhk,sqft,furnishing,price,listed_date,source
Shakti Enclave,Malad West,3 BHK,1018 sqft,Semi-Furnished,₹80000,Listed 25 Jun 2026 · 11:02 PM,propi_in
Eddie House,Peddar Road,4 BHK,3750 sqft,Semi-Furnished,₹8 L,Listed 25 Jun 2026 · 11:01 PM,propi_in
Raj Infinia,Malad West,3 BHK,1015 sqft,Semi-Furnished,₹80000,Listed 25 Jun 2026 · 10:59 PM,propi_in
Cadel Plaza,Prabhadevi,2 BHK,775 sqft,Fully Furnished,₹2 L,Listed 25 Jun 2026 · 10:29 PM,propi_in
Lodha Marquise,Worli,4 BHK,1600 sqft,Unfurnished,₹9.00 Cr,Listed 25 Jun 2026 · 10:28 PM,propi_in
Lodha Trump Tower,Worli,5 BHK,2815 sqft,Semi-Furnished,₹23.00 Cr,Listed 25 Jun 2026 · 10:28 PM,propi_in
India Bulls Sky Forest,Lower Parel,3 BHK,1650 sqft,Semi-Furnished,₹4 L,Listed 25 Jun 2026 · 10:28 PM,propi_in
Lodha Aria,Parel,3 BHK,1550 sqft,Semi-Furnished,₹2 L,Listed 25 Jun 2026 · 10:28 PM,propi_in
Inez Tower,Mahim,3 BHK,1400 sqft,Semi-Furnished,₹4.60 Cr,Listed 25 Jun 2026 · 10:27 PM,propi_in
Rustomjee Crown,Prabhadevi,4 BHK,2548 sqft,,₹18.00 Cr,Listed 25 Jun 2026 · 10:25 PM,propi_in
Link Garden Tower,Andheri West,3 BHK,1000 sqft,Semi-Furnished,₹1 L,Listed 25 Jun 2026 · 09:03 PM,propi_in
Azumi,Khar West,4 BHK,1788 sqft,Semi-Furnished,₹4 L,Listed 25 Jun 2026 · 08:31 PM,propi_in
Casa Bianca,Santacruz West,3 BHK,1050 sqft,Semi-Furnished,₹6.50 Cr,Listed 25 Jun 2026 · 08:30 PM,propi_in
Lodha World Crest,Lower Parel,4 BHK,2309 sqft,Fully Furnished,₹14.00 Cr,Listed 25 Jun 2026 · 08:29 PM,propi_in
Dosti Flamingos,Parel,2 BHK,710 sqft,Semi-Furnished,₹3.00 Cr,Listed 25 Jun 2026 · 08:29 PM,propi_in
Chandelier Court,Worli,3 BHK,,Fully Furnished,₹2 L,Listed 25 Jun 2026 · 08:29 PM,propi_in
Omkar Belleza,Dadar West,3 BHK,1350 sqft,Fully Furnished,₹6.00 Cr,Listed 25 Jun 2026 · 08:29 PM,propi_in
Chaitanya Tower,Prabhadevi,2 BHK,850 sqft,Semi-Furnished,₹6.50 Cr,Listed 25 Jun 2026 · 08:29 PM,propi_in
Eden Hall,Worli,2 BHK,1100 sqft,Semi-Furnished,₹2 L,Listed 25 Jun 2026 · 08:28 PM,propi_in
Trump Tower,Worli,3 BHK,1314 sqft,Fully Furnished,₹11.00 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Madhuban Apartments,Worli,1 BHK,660 sqft,Fully Furnished,₹1 L,Listed 25 Jun 2026 · 08:28 PM,propi_in
Lodha World Crest,Lower Parel,4 BHK,2300 sqft,Unfurnished,₹17.00 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Lodha Grandeur,Prabhadevi,3 BHK,1300 sqft,Semi-Furnished,₹7.00 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Runwal Reserve,Worli,3 BHK,1475 sqft,Semi-Furnished,₹7.60 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Trump Tower,Worli,5 BHK,3000 sqft,Unfurnished,₹22.00 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Inez Tower,Mahim,2 BHK,,Semi-Furnished,₹3.40 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Kalpataru Horizon,Worli,3 BHK,1540 sqft,Semi-Furnished,₹14.00 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Marathon Era,Lower Parel,3 BHK,,Fully Furnished,₹5.75 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Runwal Reserve,Worli,3.5 BHK,1530 sqft,Semi-Furnished,₹10.50 Cr,Listed 25 Jun 2026 · 08:27 PM,propi_in
Rustomjee Crown,Prabhadevi,5 BHK,3025 sqft,Semi-Furnished,₹22.00 Cr,Listed 25 Jun 2026 · 08:27 PM,propi_in
Unity Tower,Lower Parel,2 BHK,750 sqft,Fully Furnished,₹1 L,Listed 25 Jun 2026 · 08:26 PM,propi_in
Wild Teasel,Khar West,3 BHK,1080 sqft,Semi-Furnished,₹8.10 Cr,Listed 25 Jun 2026 · 08:26 PM,propi_in
Nav Chetna,Santacruz West,3 BHK,1100 sqft,Semi-Furnished,₹6.15 Cr,Listed 25 Jun 2026 · 08:26 PM,propi_in
Acharat Baug,Santacruz West,3 BHK,1186 sqft,Semi-Furnished,₹5.35 Cr,Listed 25 Jun 2026 · 08:26 PM,propi_in
Lodha Bellissimo,Mahalaxmi,3 BHK,1710 sqft,Semi-Furnished,₹8.95 Cr,Listed 25 Jun 2026 · 08:26 PM,propi_in
Four Seasons Private Residences,Worli,3 BHK,3300 sqft,,₹40.00 Cr,Listed 25 Jun 2026 · 08:25 PM,propi_in
Celestia Spaces,Sewri,2 BHK,868 sqft,,₹2 L,Listed 25 Jun 2026 · 08:25 PM,propi_in
Elite Vista,Khar West,3 BHK,1050 sqft,Unfurnished,₹6.75 Cr,Listed 25 Jun 2026 · 08:25 PM,propi_in
Rustomjee Seasons,Bandra East,3.5 BHK,1464 sqft,Semi-Furnished,₹10.68 Cr,Listed 25 Jun 2026 · 08:25 PM,propi_in
Silver Metropolis,Goregaon East,,11350 sqft,Furnished,₹34 L,Listed 25 Jun 2026 · 06:59 PM,propi_in
Green Crest,Andheri West,2 BHK,750 sqft,Semi-Furnished,₹90000,Listed 25 Jun 2026 · 06:59 PM,propi_in
Darvesh Grand,Khar West,1 BHK,656 sqft,Semi-Furnished,₹3.35 Cr,Listed 25 Jun 2026 · 05:30 PM,propi_in
Blue Excellency,Goregaon West,4 BHK,,Semi-Furnished,₹3 L,Listed 25 Jun 2026 · 05:17 PM,propi_in
Runwal Elegante,Andheri West,2.5 BHK,1000 sqft,Semi-Furnished,₹5.50 Cr,Listed 25 Jun 2026 · 04:25 PM,propi_in
Mohini Castle,Khar West,2½ BHK,780 sqft,Semi Furnished,₹2.70 Cr,Listed 25 Jun 2026 · 03:04 PM,propi_in
Sangam Bhavan,Colaba,2 BHK,950 sqft,Semi Furnished,₹3.95 Cr,Listed 25 Jun 2026 · 03:03 PM,propi_in
Sangam Bhavan,Colaba,1 BHK,620 sqft,Semi Furnished,₹2.50 Cr,Listed 25 Jun 2026 · 03:03 PM,propi_in
DLH Orchid,Andheri West,2.5 BHK,750 sqft,Semi Furnished,₹95000,Listed 25 Jun 2026 · 02:31 PM,propi_in
Torino,Powai,3 BHK,1440 sqft,Semi Furnished,₹2 L,Listed 25 Jun 2026 · 01:12 PM,propi_in
Sigma Pearl,Khar West,1 BHK,360 sqft,Semi Furnished,₹1.65 Cr,Listed 25 Jun 2026 · 01:09 PM,propi_in
Mohini Castle,Khar West,2½ BHK,800 sqft,Semi Furnished,₹3.11 Cr,Listed 25 Jun 2026 · 01:06 PM,propi_in
Captain Villa,Bandra West,2 BHK,800 sqft,Fully Furnished,₹2 L,Listed 25 Jun 2026 · 01:04 PM,propi_in
Runwal Elegante,Andheri West,2½ BHK,976 sqft,Fully Furnished,₹5.50 Cr,Listed 25 Jun 2026 · 12:25 PM,propi_in
Hubtown Gardenia,Mira Road,2 BHK,700 sqft,Fully Furnished,₹36000,Listed 25 Jun 2026 · 11:25 AM,propi_in
Sandstone,Mira Road,3 BHK,,Semi Furnished,₹40000,Listed 25 Jun 2026 · 09:03 AM,propi_in
Pinnacolo,Mira Road,3 BHK,,Semi Furnished,₹48000,Listed 25 Jun 2026 · 09:03 AM,propi_in
Gaurav Chintan,Mira Road,2 BHK,650 sqft,Semi Furnished,₹22000,Listed 25 Jun 2026 · 09:03 AM,propi_in
Siddhivinayak Horizon,Prabhadevi,3 BHK,835 sqft,Semi Furnished,₹4.90 Cr,Listed 25 Jun 2026 · 09:03 AM,propi_in
Versova Kiran,Andheri West,4 BHK,1500 sqft,Un Furnished,₹1 L,Listed 25 Jun 2026 · 05:12 AM,propi_in
Oberoi Maxima,Andheri East,3 BHK,1166 sqft,Fully Furnished,₹3 L,Listed 25 Jun 2026 · 03:21 AM,propi_in
Oberoi Esquire,Goregaon East,3 BHK,2740 sqft,Semi-Furnished,₹20.50 Cr,Listed 25 Jun 2026 · 03:15 AM,propi_in
Veena Solace,Santacruz West,3 BHK,945 sqft,Semi Furnished,₹4.51 Cr,Listed 25 Jun 2026 · 02:30 AM,propi_in
Veena Solace,Santacruz West,2 BHK,831 sqft,Semi-Furnished,₹3.85 Cr,Listed 25 Jun 2026 · 02:30 AM,propi_in
Woodstock Gardens,Santacruz West,3 BHK,1100 sqft,Semi-Furnished,₹7.50 Cr,Listed 25 Jun 2026 · 02:30 AM,propi_in
Oberoi Esquire,Goregaon East,4 BHK,1938 sqft,Semi-Furnished,₹14.50 Cr,Listed 25 Jun 2026 · 02:30 AM,propi_in
Anmol Fortune,Goregaon West,3 BHK,1114 sqft,Semi-Furnished,₹3.60 Cr,Listed 25 Jun 2026 · 02:30 AM,propi_in
KK Elegance,Khar West,3 BHK,1136 sqft,Semi-Furnished,₹8.52 Cr,Listed 25 Jun 2026 · 02:30 AM,propi_in
DLH Sorrento,Andheri West,4 BHK,1033 sqft,Fully Furnished,₹2 L,Listed 25 Jun 2026 · 02:30 AM,propi_in
Lodha Fiorenza,Goregaon East,3 BHK,1200 sqft,Semi-Furnished,₹2 L,Listed 25 Jun 2026 · 02:30 AM,propi_in
Elixir Reserve,Powai,3 BHK,1400 sqft,Semi-Furnished,₹2 L,Listed 25 Jun 2026 · 02:30 AM,propi_in
Kalpataru Solitaire,Juhu,3 BHK,1890 sqft,Semi-Furnished,₹5 L,Listed 25 Jun 2026 · 02:29 AM,propi_in
Dynamix Divum,Goregaon East,2 BHK,757 sqft,Semi-Furnished,₹70000,Listed 25 Jun 2026 · 02:29 AM,propi_in
Sunteck City,Goregaon West,3 BHK,1020 sqft,Semi-Furnished,₹4.25 Cr,Listed 25 Jun 2026 · 02:29 AM,propi_in
Piramal Aranya,Byculla,2 BHK,,Semi-Furnished,₹3.00 Cr,Listed 25 Jun 2026 · 02:29 AM,propi_in
Hiranandani Highland,Powai,3 BHK,785 sqft,Semi-Furnished,₹4.15 Cr,Listed 25 Jun 2026 · 02:29 AM,propi_in
Monte South,Byculla,3 BHK,1200 sqft,Semi Furnished,₹2 L,Listed 25 Jun 2026 · 02:29 AM,propi_in
Bharat Acropolis,Juhu,3 BHK,,Semi-Furnished,₹2 L,Listed 25 Jun 2026 · 02:29 AM,propi_in
Rustomjee Seasons,Bandra East,3 BHK,1188 sqft,Semi-Furnished,₹4 L,Listed 25 Jun 2026 · 02:29 AM,propi_in
Kanakia Paris,Bandra East,2 BHK,832 sqft,Semi-Furnished,₹3.00 Cr,Listed 25 Jun 2026 · 02:29 AM,propi_in
Piramal Aranya Arav,Byculla,2 BHK,780 sqft,Semi Furnished,₹1 L,Listed 25 Jun 2026 · 02:28 AM,propi_in
One Avighna Park,Lower Parel,4 BHK,2700 sqft,Semi-Furnished,₹5 L,Listed 25 Jun 2026 · 02:28 AM,propi_in
Signia Pearl,Bandra East,4 BHK,3485 sqft,Semi-Furnished,₹8 L,Listed 25 Jun 2026 · 02:28 AM,propi_in
Trump Tower,Worli,3 BHK,1374 sqft,Semi-Furnished,₹8.10 Cr,Listed 25 Jun 2026 · 02:28 AM,propi_in
Prestige Jasdan Classic,Mahalaxmi,4 BHK,2307 sqft,Unfurnished,₹15.50 Cr,Listed 25 Jun 2026 · 02:28 AM,propi_in
Lodha Venezia,Parel,3 BHK,1180 sqft,Semi Furnished,₹5.61 Cr,Listed 25 Jun 2026 · 02:28 AM,propi_in
Kalpataru Avana,Parel,5 BHK,2525 sqft,Semi-Furnished,₹17.00 Cr,Listed 25 Jun 2026 · 02:28 AM,propi_in
Celestia Spaces,Sewri,3 BHK,1396 sqft,Unfurnished,₹5.90 Cr,Listed 25 Jun 2026 · 02:27 AM,propi_in
World Towers,Lower Parel,3 BHK,,Semi-Furnished,₹4 L,Listed 25 Jun 2026 · 02:27 AM,propi_in
Kanakia Silicon Valley,Powai,4 BHK,1368 sqft,Semi-Furnished,₹2 L,Listed 25 Jun 2026 · 02:27 AM,propi_in
Velentine Apartment,Malad East,2 BHK,,Semi-Furnished,₹55000,Listed 25 Jun 2026 · 02:27 AM,propi_in
L&T Crescent Bay,Parel,3 BHK,2100 sqft,Semi Furnished,₹3 L,Listed 25 Jun 2026 · 02:27 AM,propi_in
Veena Smart Homes,Kandivali West,1 BHK,,Semi-Furnished,₹1.05 Cr,Listed 25 Jun 2026 · 02:27 AM,propi_in
DSK Durgamata,Cuffe Parade,5 BHK,3352 sqft,Semi-Furnished,₹8 L,Listed 25 Jun 2026 · 02:27 AM,propi_in
Piramal Mahalaxmi,Mahalaxmi,2 BHK,,Semi-Furnished,₹5.00 Cr,Listed 25 Jun 2026 · 02:27 AM,propi_in
Lodha Woods,Kandivali East,3 BHK,1044 sqft,Unfurnished,₹75000,Listed 25 Jun 2026 · 02:27 AM,propi_in
RNA NG Eclat,Andheri West,2 BHK,,Semi-Furnished,₹1 L,Listed 25 Jun 2026 · 02:27 AM,propi_in
Planet Godrej,Mahalaxmi,3 BHK,1300 sqft,Semi-Furnished,₹8.50 Cr,Listed 25 Jun 2026 · 02:26 AM,propi_in
Oberoi Exquisite,Goregaon East,3 BHK,1039 sqft,Semi-Furnished,₹6.50 Cr,Listed 25 Jun 2026 · 02:26 AM,propi_in
Sheth Irene,Malad West,2 BHK,635 sqft,Semi-Furnished,₹2.10 Cr,Listed 25 Jun 2026 · 02:26 AM,propi_in
Pearl Residency,Andheri West,3 BHK,775 sqft,Semi-Furnished,₹3.25 Cr,Listed 25 Jun 2026 · 02:26 AM,propi_in
Kalpataru Magnus,Bandra East,3 BHK,1197 sqft,Semi-Furnished,₹2 L,Listed 25 Jun 2026 · 02:26 AM,propi_in
Raheja Vistas,Powai,3 BHK,1163 sqft,Semi Furnished,₹1 L,Listed 25 Jun 2026 · 02:26 AM,propi_in
Kanakia Silicon Valley,Powai,3 BHK,1045 sqft,Semi Furnished,₹4.70 Cr,Listed 25 Jun 2026 · 02:26 AM,propi_in
Vasant Blossom,Andheri East,2 BHK,699 sqft,Semi Furnished,₹85000,Listed 25 Jun 2026 · 02:26 AM,propi_in
Piramal Mahalaxmi,Mahalaxmi,3 BHK,1450 sqft,Semi Furnished,₹11.00 Cr,Listed 25 Jun 2026 · 02:25 AM,propi_in
Cosmos Majestic,Prabhadevi,2 BHK,1000 sqft,Semi Furnished,₹5.50 Cr,Listed 25 Jun 2026 · 02:25 AM,propi_in
Suvidha Emerald,Prabhadevi,4 BHK,2200 sqft,Semi Furnished,₹15.50 Cr,Listed 25 Jun 2026 · 02:25 AM,propi_in
Elixir Reserve,Powai,2 BHK,660 sqft,Semi Furnished,₹2.95 Cr,Listed 25 Jun 2026 · 02:25 AM,propi_in
DLH Metroview,Andheri West,2 BHK,510 sqft,Fully Furnished,₹1.75 Cr,Listed 25 Jun 2026 · 02:25 AM,propi_in
Transcon Triumph,Andheri West,2 BHK,864 sqft,Semi Furnished,₹4.50 Cr,Listed 25 Jun 2026 · 02:25 AM,propi_in
Ruia Park,Juhu,2 BHK,862 sqft,Semi Furnished,₹5.20 Cr,Listed 25 Jun 2026 · 02:25 AM,propi_in
Apollo Heights,Khar West,4 BHK,1722 sqft,Semi Furnished,₹11.50 Cr,Listed 25 Jun 2026 · 02:25 AM,propi_in
Concrete Heritage,Bandra West,1 BHK,440 sqft,Semi Furnished,₹73000,Listed 25 Jun 2026 · 02:25 AM,propi_in
Raj Infinia,Malad West,3 BHK,1031 sqft,Un Furnished,₹3.50 Cr,Listed 25 Jun 2026 · 02:25 AM,propi_in
Dosti Eastern Bay,Wadala,2 BHK,674 sqft,Semi Furnished,₹1 L,Listed 25 Jun 2026 · 02:25 AM,propi_in
Neminath Luxeria,Andheri West,2 BHK,675 sqft,,₹70000,Listed 25 Jun 2026 · 02:25 AM,propi_in
Sunteck City Avenue 1,Goregaon West,2 BHK,905 sqft,Semi Furnished,₹85000,Listed 25 Jun 2026 · 02:25 AM,propi_in
Northern Heights,Dahisar East,3 BHK,1041 sqft,Semi Furnished,₹3.50 Cr,Listed 25 Jun 2026 · 02:25 AM,propi_in
Kalpataru Habitat,Parel,2 BHK,900 sqft,Fully Furnished,₹5.50 Cr,Listed 25 Jun 2026 · 02:25 AM,propi_in
Kalpataru Avana,Parel,4 BHK,1848 sqft,Semi Furnished,₹4 L,Listed 25 Jun 2026 · 01:00 AM,propi_in
Ekta Tripolis,Goregaon West,2.5 BHK,872 sqft,Semi Furnished,₹90000,Listed 24 Jun 2026 · 11:06 PM,propi_in
Benhur,Andheri West,1 BHK,850 sqft,Unfurnished,₹50000,Listed 24 Jun 2026 · 09:12 PM,propi_in
Shishira Tower,Andheri West,3 BHK,1350 sqft,Semi-Furnished,₹3 L,Listed 24 Jun 2026 · 07:12 PM,propi_in
Mayfair Liv,Khar West,2 BHK,815 sqft,Un Furnished,₹65000,Listed 24 Jun 2026 · 07:03 PM,propi_in
Akruti Trade Centre,Andheri East,,1725 sqft,Fully Furnished,₹7.00 Cr,Listed 24 Jun 2026 · 06:46 PM,propi_in
Lodha Trump Tower,Worli,6 BHK,2850 sqft,Fully Furnished,₹22.50 Cr,Listed 24 Jun 2026 · 06:35 PM,propi_in
Urmi,Khar West,1 BHK,600 sqft,Semi-Furnished,₹3.00 Cr,Listed 24 Jun 2026 · 05:04 PM,propi_in
Acme Enclave,Malad West,2 BHK,,Fully Furnished,₹60000,Listed 24 Jun 2026 · 04:25 PM,propi_in
Ashok Enclave,Malad West,2 BHK,650 sqft,Fully Furnished,₹60000,Listed 24 Jun 2026 · 04:24 PM,propi_in
Reliable Business Center,Andheri West,,340 sqft,Fully Furnished,₹50000,Listed 24 Jun 2026 · 03:53 PM,propi_in
Soona Villa,Bandra West,3 BHK,1267 sqft,Semi Furnished,₹4 L,Listed 24 Jun 2026 · 02:32 PM,propi_in
Chitra,Santacruz West,3 BHK,2000 sqft,Semi Furnished,₹6 L,Listed 24 Jun 2026 · 02:29 PM,propi_in
DLH Signature,Bandra West,4 BHK,3000 sqft,Fully Furnished,₹10 L,Listed 24 Jun 2026 · 02:25 PM,propi_in
Sagar Resham,Bandra West,3 BHK,1800 sqft,Semi Furnished,₹8 L,Listed 24 Jun 2026 · 02:21 PM,propi_in
The Park,Andheri West,5 BHK,2300 sqft,Semi Furnished,₹4 L,Listed 24 Jun 2026 · 02:10 PM,propi_in
Lodha Bel Air,Jogeshwari,3 BHK,946 sqft,Semi Furnished,₹2 L,Listed 24 Jun 2026 · 02:06 PM,propi_in
Mahalaxmi Tower,Andheri West,2 BHK,750 sqft,Semi Furnished,₹2.70 Cr,Listed 24 Jun 2026 · 02:04 PM,propi_in
Gurukrupa Dhyanam,Andheri West,2 BHK,755 sqft,Semi Furnished,₹3.50 Cr,Listed 24 Jun 2026 · 02:02 PM,propi_in
Lashkaria Anurag,Andheri West,2½ BHK,700 sqft,Semi Furnished,₹3.30 Cr,Listed 24 Jun 2026 · 01:59 PM,propi_in
Rustomjee Cleon,Bandra East,1½ BHK,540 sqft,Semi Furnished,₹75000,Listed 24 Jun 2026 · 01:58 PM,propi_in
Agami Eternity,Bandra East,3 BHK,940 sqft,Fully Furnished,₹3 L,Listed 24 Jun 2026 · 01:56 PM,propi_in
Evershine Cosmic,Andheri West,2 BHK,1095 sqft,Fully Furnished,₹80000,Listed 24 Jun 2026 · 01:05 PM,propi_in
Time Chambers,Andheri West,,240 sqft,Unfurnished,₹1.28 Cr,Listed 23 Jun 2026 · 05:31 PM,propi_in
Time Chambers,Andheri West,,240 sqft,Unfurnished,₹60000,Listed 23 Jun 2026 · 05:25 PM,propi_in
Raheja Classique,Andheri West,2 BHK,820 sqft,Semi Furnished,₹4.35 Cr,Listed 23 Jun 2026 · 05:22 PM,propi_in
Pearl Residency,Prabhadevi,2 BHK,987 sqft,Semi Furnished,₹2 L,Listed 23 Jun 2026 · 04:59 PM,propi_in
Beacon,Santacruz West,2 BHK,750 sqft,Semi-Furnished,₹1 L,Listed 23 Jun 2026 · 04:58 PM,propi_in
Lotus Link Square,Andheri West,,550 sqft,,₹2.20 Cr,Listed 23 Jun 2026 · 04:56 PM,propi_in
Remi Biz Court,Andheri West,,340 sqft,,₹1.20 Cr,Listed 23 Jun 2026 · 04:56 PM,propi_in
Royal Sand,Andheri West,,1300 sqft,,₹5.75 Cr,Listed 23 Jun 2026 · 04:56 PM,propi_in
Remi Biz Court,Andheri West,,550 sqft,,₹1 L,Listed 23 Jun 2026 · 04:56 PM,propi_in
Amrut Tara,Andheri West,2 BHK,426 sqft,,₹90000,Listed 23 Jun 2026 · 04:56 PM,propi_in
Sheth Irene,Malad West,1 BHK,400 sqft,,₹50000,Listed 23 Jun 2026 · 04:56 PM,propi_in
Oakland Park,Andheri West,1 BHK,480 sqft,,₹70000,Listed 23 Jun 2026 · 04:56 PM,propi_in
Royal Accord,Prabhadevi,2.5 BHK,1120 sqft,Semi Furnished,₹4.75 Cr,Listed 23 Jun 2026 · 04:56 PM,propi_in
Raheja Vistas,Powai,2 BHK,1000 sqft,,₹1 L,Listed 23 Jun 2026 · 04:56 PM,propi_in
Ajay Apartment,Byculla,3.5 BHK,1185 sqft,,₹4.50 Cr,Listed 23 Jun 2026 · 04:56 PM,propi_in
Samarth Vaibhav,Andheri West,,310 sqft,Semi-Furnished,₹75000,Listed 23 Jun 2026 · 04:56 PM,propi_in
Floral Deck Plaza,Andheri East,,850 sqft,,₹1 L,Listed 23 Jun 2026 · 04:56 PM,propi_in
Platinum Casa Millennia,Andheri West,1 BHK,440 sqft,,₹1.30 Cr,Listed 23 Jun 2026 · 04:56 PM,propi_in
Magnum Tower,Andheri West,2 BHK,800 sqft,,₹3.50 Cr,Listed 23 Jun 2026 · 04:56 PM,propi_in
Hyde Park,Andheri East,,,,₹2 L,Listed 23 Jun 2026 · 04:56 PM,propi_in
Rustomjee Crown,Prabhadevi,3 BHK,1800 sqft,,₹8.50 Cr,Listed 23 Jun 2026 · 04:56 PM,propi_in
Crystal Paradise,Andheri West,,367 sqft,,₹2.00 Cr,Listed 23 Jun 2026 · 04:56 PM,propi_in
Badrinath,Khar West,4 BHK,1800 sqft,,₹6 L,Listed 23 Jun 2026 · 04:55 PM,propi_in
Oberoi Crest,Khar West,4 BHK,2100 sqft,,₹14 L,Listed 23 Jun 2026 · 04:55 PM,propi_in
Shalimar Apartments,Santacruz West,4 BHK,1500 sqft,,₹8.00 Cr,Listed 23 Jun 2026 · 04:55 PM,propi_in
Morya House,Andheri West,,2350 sqft,,₹4 L,Listed 23 Jun 2026 · 04:55 PM,propi_in
Golden Chambers,Andheri West,,1000 sqft,,₹3 L,Listed 23 Jun 2026 · 04:55 PM,propi_in
Durga Chambers,Andheri West,,650 sqft,,₹2 L,Listed 23 Jun 2026 · 04:55 PM,propi_in
Shalimar Morya Park,Andheri West,,,,₹1 L,Listed 23 Jun 2026 · 04:55 PM,propi_in
Crystal Plaza,Andheri West,,500 sqft,,₹90000,Listed 23 Jun 2026 · 04:55 PM,propi_in
Indra Darshan,Andheri West,3 BHK,1125 sqft,,₹4.65 Cr,Listed 23 Jun 2026 · 04:55 PM,propi_in
Centura Square,Thane West,,458 sqft,,₹72 L,Listed 23 Jun 2026 · 04:55 PM,propi_in
DLH Orchid,Andheri West,2 BHK,900 sqft,,₹3.50 Cr,Listed 23 Jun 2026 · 04:55 PM,propi_in
Marina Enclave,Malad West,2 BHK,729 sqft,,₹2.20 Cr,Listed 23 Jun 2026 · 04:55 PM,propi_in
Lotus Arc One,Andheri West,,450 sqft,,₹1 L,Listed 23 Jun 2026 · 04:55 PM,propi_in
Samartha Aangan,Andheri West,3 BHK,1150 sqft,,₹5.80 Cr,Listed 23 Jun 2026 · 04:55 PM,propi_in
Rustomjee Cleon,Bandra East,1 BHK,439 sqft,,₹2.35 Cr,Listed 23 Jun 2026 · 04:55 PM,propi_in
Monte South,Byculla,3 BHK,2200 sqft,,₹5 L,Listed 23 Jun 2026 · 04:55 PM,propi_in
Mistry Industrial Complex,Andheri East,,2900 sqft,,₹3 L,Listed 23 Jun 2026 · 04:55 PM,propi_in
Mistry Industrial Complex,Andheri East,,2900 sqft,,₹3 L,Listed 23 Jun 2026 · 04:55 PM,propi_in
New Monalisa,Juhu,3 BHK,1150 sqft,,₹2 L,Listed 23 Jun 2026 · 04:55 PM,propi_in
Runwal Elegante,Andheri West,3 BHK,1254 sqft,,₹2 L,Listed 23 Jun 2026 · 04:55 PM,propi_in
Arista Prime,Bandra East,2 BHK,540 sqft,,₹85000,Listed 23 Jun 2026 · 04:41 PM,propi_in
Lodha World Tower,Lower Parel,4 BHK,1600 sqft,,₹12.00 Cr,Listed 23 Jun 2026 · 04:41 PM,propi_in
Indiabulls Sky Forest,Lower Parel,3 BHK,2400 sqft,,₹6 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Oberoi 360 West,Worli,4 BHK,5470 sqft,,₹90.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sorrento,Andheri West,2 BHK,837 sqft,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Raheja Classique,Andheri West,1 BHK,,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Vraj Residency,Andheri West,2 BHK,,,₹85000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sunshine Apartment,Breach Candy,2 BHK,850 sqft,,₹6.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Kakad Heights,Bandra West,3 BHK,1250 sqft,,₹5.25 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Auris Serenity,Malad West,3 BHK,1272 sqft,,₹6.25 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Seep Building,Bandra West,4 BHK,2800 sqft,,₹5 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Kohinoor 2,Andheri West,3 BHK,,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sagar Shrot Building,Andheri West,2 BHK,,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Pushpanjali,Walkeshwar,2.5 BHK,1080 sqft,,₹6.50 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Ambika Acropolis,Andheri West,2 BHK,,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Amit Estate,Andheri West,2 BHK,800 sqft,,₹95000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Natasha Tower,Andheri West,2 BHK,,,₹95000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Atlas Skywalker,Andheri West,2 BHK,860 sqft,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Gayatri Enclave,Andheri West,2 BHK,,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Monte South,Byculla,2 BHK,852 sqft,,₹3.83 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sanjeev Enclave,Andheri West,3 BHK,1350 sqft,Un Furnished,₹4.75 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
New Chandra,Andheri West,1 BHK,525 sqft,,₹1.70 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Kalumal Estate,Juhu,3 BHK,,,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Vasant Prakash,Andheri West,2 BHK,725 sqft,,₹2.85 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
