building,location,bhk,sqft,furnishing,price,listed_date,source
Rustomjee Meridian,Kandivali West,1 BHK,449 sqft,Semi-Furnished,₹1.05 Cr,Listed 25 Apr 2026 · 09:00 PM,propi_in
Vraj Tiara,Worli,4 BHK,2320 sqft,Semi-Furnished,₹19.00 Cr,Listed 25 Apr 2026 · 08:42 PM,propi_in
Sheth Irene,Malad West,2 BHK,647 sqft,Semi-Furnished,₹2.20 Cr,Listed 25 Apr 2026 · 08:42 PM,propi_in
Lodha Primero,Mahalaxmi,2 BHK,893 sqft,Semi-Furnished,₹5.50 Cr,Listed 25 Apr 2026 · 08:40 PM,propi_in
Satguru Shlok,Bandra West,3 BHK,936 sqft,Semi-Furnished,₹6.00 Cr,Listed 25 Apr 2026 · 08:18 PM,propi_in
Raval Tower,Andheri West,3 BHK,1100 sqft,Semi-Furnished,₹5.50 Cr,Listed 25 Apr 2026 · 08:12 PM,propi_in
Lodha Kiara,Worli,3 BHK,1283 sqft,Semi-Furnished,₹7.50 Cr,Listed 25 Apr 2026 · 08:02 PM,propi_in
Vidhata,Khar West,4 BHK,1700 sqft,Semi-Furnished,₹12.75 Cr,Listed 25 Apr 2026 · 07:58 PM,propi_in
Lodha Parkside,Worli,2.5 BHK,975 sqft,Semi-Furnished,₹5.50 Cr,Listed 25 Apr 2026 · 07:48 PM,propi_in
Auris Serenity,Malad West,2 BHK,818 sqft,Semi-Furnished,₹2.55 Cr,Listed 25 Apr 2026 · 07:40 PM,propi_in
Ishaan,Khar West,2 BHK,783 sqft,Semi-Furnished,₹5.00 Cr,Listed 25 Apr 2026 · 07:34 PM,propi_in
Kalpataru Immensa,Thane West,3 BHK,1100 sqft,Semi-Furnished,₹2.25 Cr,Listed 25 Apr 2026 · 07:34 PM,propi_in
Lodha Marquise,Worli,4 BHK,1408 sqft,Semi-Furnished,₹10.00 Cr,Listed 25 Apr 2026 · 07:26 PM,propi_in
Mayfair Muse,Bandra West,3 BHK,1100 sqft,Semi-Furnished,₹8.25 Cr,Listed 25 Apr 2026 · 07:12 PM,propi_in
The Designate,Santacruz West,3 BHK,2460 sqft,Semi-Furnished,₹14.50 Cr,Listed 25 Apr 2026 · 06:22 PM,propi_in
Prestige Jasdan Classic,Mahalaxmi,3 BHK,1256 sqft,Semi-Furnished,₹3 L,Listed 25 Apr 2026 · 06:12 PM,propi_in
Lodha Marquise,Worli,3 BHK,1343 sqft,Semi-Furnished,₹9.50 Cr,Listed 25 Apr 2026 · 06:04 PM,propi_in
Lodha Kiara,Worli,2 BHK,920 sqft,Semi-Furnished,₹6.00 Cr,Listed 25 Apr 2026 · 05:58 PM,propi_in
DSK Durgamata,Cuffe Parade,5 BHK,3200 sqft,Semi-Furnished,₹28.00 Cr,Listed 25 Apr 2026 · 05:40 PM,propi_in
Rivali Park,Borivali East,1 BHK,449 sqft,Fully Furnished,₹1.55 Cr,Listed 25 Apr 2026 · 05:30 PM,propi_in
Lodha Marquise,Worli,4 BHK,1589 sqft,Semi-Furnished,₹4 L,Listed 25 Apr 2026 · 05:28 PM,propi_in
