building_id,landmark_id,distance_m,walking_min,building_name,landmark_name
1689,LM-058,102,1,DLF The Crest,Shivaji Park
1690,LM-058,102,1,Dotom Desire,Shivaji Park
1691,LM-058,102,1,Earth Ventage,Shivaji Park
1692,LM-058,102,1,Earth Vintage,Shivaji Park
1693,LM-058,102,1,Hiranya,Shivaji Park
1694,LM-058,102,1,Inder Tower,Shivaji Park
1695,LM-058,102,1,Kalaya Tower,Shivaji Park
1696,LM-058,102,1,Kohinoor Altissimo,Shivaji Park
1697,LM-058,102,1,Laxmi Commercial Centre,Shivaji Park
1698,LM-058,102,1,Luis Apartment,Shivaji Park
1699,LM-058,102,1,Mandarmala,Shivaji Park
1700,LM-058,102,1,Mangesh Sadan,Shivaji Park
1701,LM-058,102,1,Moti Bhuvan,Shivaji Park
1702,LM-058,102,1,Omkar Belleza,Shivaji Park
1703,LM-058,102,1,Palette,Shivaji Park
1704,LM-058,102,1,Park Mist,Shivaji Park
1705,LM-058,102,1,Royal Accord,Shivaji Park
1706,LM-058,102,1,Royal Tusk,Shivaji Park
1707,LM-058,102,1,Sai Siddhi,Shivaji Park
1708,LM-058,102,1,Silver Beach Apartments,Shivaji Park
1709,LM-058,102,1,Sugee Akanksha,Shivaji Park
1710,LM-058,102,1,Sugee Hiranya,Shivaji Park
1711,LM-058,102,1,Sugee Sadan,Shivaji Park
1712,LM-058,102,1,Sugee Shubhada,Shivaji Park
1713,LM-058,102,1,Sujatha Apartment,Shivaji Park
1714,LM-058,102,1,Suraj Louisandra,Shivaji Park
1715,LM-058,102,1,Suraj Park View,Shivaji Park
1716,LM-058,102,1,Suraj Vista,Shivaji Park
1717,LM-058,102,1,Crest,Shivaji Park
1718,LM-058,102,1,Ruby,Shivaji Park
1719,LM-058,102,1,Vardhaman Estate,Shivaji Park
1720,LM-058,102,1,Vishal Villa,Shivaji Park
1721,LM-058,102,1,Wisteria,Shivaji Park
1722,LM-058,102,1,Yash Plaza,Shivaji Park
1581,LM-023,135,2,CCI Chambers,Churchgate Station
1582,LM-023,135,2,Churchgate Mansion,Churchgate Station
1583,LM-023,135,2,Indus Court,Churchgate Station
1584,LM-023,135,2,Krishna Mahal,Churchgate Station
1585,LM-023,135,2,Moti Mahal,Churchgate Station
1586,LM-023,135,2,Prem Court,Churchgate Station
1587,LM-023,135,2,Raj Mahal,Churchgate Station
1588,LM-023,135,2,Rakhi Mahal,Churchgate Station
1589,LM-023,135,2,Ravindra Mansion,Churchgate Station
1590,LM-023,135,2,Sahakar,Churchgate Station
1591,LM-023,135,2,Vishnu Mahal,Churchgate Station
1652,LM-057,163,2,Kohinoor Square,Dadar Station
2213,LM-052,171,2,19 North,Kandivali Station
2214,LM-052,171,2,19th North,Kandivali Station
2215,LM-052,171,2,73 East,Kandivali Station
2216,LM-052,171,2,Abhilasha,Kandivali Station
2217,LM-052,171,2,Acme Avenue,Kandivali Station
2218,LM-052,171,2,Agarwal Residency,Kandivali Station
2219,LM-052,171,2,Amann Spring,Kandivali Station
2220,LM-052,171,2,Anant Tara,Kandivali Station
2221,LM-052,171,2,Arcade Bhoomi,Kandivali Station
2222,LM-052,171,2,Arthaya,Kandivali Station
2223,LM-052,171,2,Aspire,Kandivali Station
2224,LM-052,171,2,Bhoomi Garden,Kandivali Station
2225,LM-052,171,2,Blue Arch,Kandivali Station
2226,LM-052,171,2,Blue Empire Complex,Kandivali Station
2227,LM-052,171,2,Blue Empress,Kandivali Station
2228,LM-052,171,2,Breezy Corner,Kandivali Station
2229,LM-052,171,2,Chandak Breezy Corner,Kandivali Station
2230,LM-052,171,2,Dosti Oro,Kandivali Station
2231,LM-052,171,2,Eden Garden,Kandivali Station
2232,LM-052,171,2,Ekta Bhoomi,Kandivali Station
2233,LM-052,171,2,Gaurav Garden,Kandivali Station
2234,LM-052,171,2,Gauri Excellency,Kandivali Station
2235,LM-052,171,2,Gulmohar,Kandivali Station
2236,LM-052,171,2,Heeraji Heritage,Kandivali Station
2237,LM-052,171,2,Hiranandani Heritage Rivona,Kandivali Station
2238,LM-052,171,2,Ibis,Kandivali Station
2239,LM-052,171,2,Jaydev Tower,Kandivali Station
2240,LM-052,171,2,Jeevan Deep,Kandivali Station
2241,LM-052,171,2,Kalpavruksh Garden,Kandivali Station
2242,LM-052,171,2,Kalpavruksh Heights,Kandivali Station
2243,LM-052,171,2,Kalpvruksh,Kandivali Station
2244,LM-052,171,2,Leela Raj,Kandivali Station
2245,LM-052,171,2,Mansarovar,Kandivali Station
2246,LM-052,171,2,Mayfair Greens,Kandivali Station
2247,LM-052,171,2,Nand Dham,Kandivali Station
2248,LM-052,171,2,Olive,Kandivali Station
2249,LM-052,171,2,Orchid Suburbia,Kandivali Station
